Policy,Seed,MeanPowerW,EnergyWh,EnduranceHours,MinimumGroundSpeed,MaximumGroundSpeed,RateViolations,BoundViolations,BlockedFraction,RadialRms,PowerCoverage,WindMode,WindObservation
baseline,2010,487.691482239257,16.2563827413086,0.307571498504072,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2010,481.217157657607,16.0405719219202,0.311709583943653,3.31075008658952,8.67139070337676,0,0,0,0,1,irregular,observable
td3_agent,2010,507.195806651158,16.9065268883719,0.295743770025228,3.30893753352825,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2011,467.675276539071,15.5891758846357,0.320735363883339,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2011,467.675276539071,15.5891758846357,0.320735363883339,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2011,465.483049476018,15.5161016492006,0.322245890948878,3.86766404816339,8.4102365955635,0,0,0,0,1,irregular,observable
td3_agent,2011,521.613764247337,17.3871254749112,0.287569098596243,3.30838735993979,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2012,482.630996220326,16.0876998740109,0.310796449408988,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2012,482.630996220326,16.0876998740109,0.310796449408988,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2012,475.813225164081,15.8604408388027,0.315249749412227,3.34139620965328,8.68845024779328,0,0,0,0,1,irregular,observable
td3_agent,2012,509.452371200575,16.9817457066858,0.294433804766695,3.30889434169152,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2013,495.861641516103,16.5287213838701,0.302503737819633,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2013,495.861641516103,16.5287213838701,0.302503737819633,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2013,480.580212460063,16.0193404153354,0.312122713567749,3.30235391210981,9.09944652572662,0,0,0,0,1,irregular,observable
td3_agent,2013,503.99542417843,16.7998474726143,0.297621749730203,3.30859852228826,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2014,484.459407269344,16.1486469089781,0.30962346431763,6.3,6.3,0,0,0,0,1,irregular,observable
