Algorithm,Scenario,Seed,FinalErr,RegretPercent,MOE_energy,EnergyExcessPercent,TSearchOrRecovery,SearchSteps,BudgetUtilization,EnergyOn
single_golden,static,13,3.46524758424985,9.39663878108878,0.914121434773001,9.39465611024921,NaN,10,1,1
single_golden,static,14,3.96892744570928,8.37767138522944,0.922638244044833,8.38484167055706,NaN,9,1,1
single_golden,static,15,3.46524758424985,9.39663878108878,0.91410626105315,9.39647200839545,NaN,8,1,1
single_golden,static,16,3.95800010738191,8.37770888233605,0.922642349904103,8.38435934616893,NaN,7,1,1
single_golden,static,17,4.18643486760574,8.66187609031199,0.920249626558067,8.6661674333101,NaN,9,1,1
single_golden,static,18,3.87318551747303,8.42343607734179,0.922251790692838,8.43025842744684,NaN,8,1,1
single_golden,static,19,4,8.38509316770188,0.922576829893078,8.39205663943402,NaN,8,1,1
single_golden,static,20,4.20425724725044,8.70800847482973,0.919872463153825,8.71072241595905,NaN,9,1,1
single_golden,static,21,3.92721686407102,8.38511845158499,0.922577761204853,8.39194722123326,NaN,7,1,1
single_golden,static,22,4.01,8.38986582351389,0.922531231681541,8.39741416420702,NaN,9,1,1
single_golden,static,23,3.95108783296256,8.37843801721505,0.922632257124757,8.38554497502051,NaN,9,1,1
single_golden,static,24,4.45673308974897,9.62295658620707,0.912203355496299,9.62467896820374,NaN,11,1,1
single_golden,static,25,2.95930653502728,9.74685140070796,0.911221195492404,9.74283795710235,NaN,9,1,1
single_golden,static,26,4.01895478306603,8.39512818795649,0.922489059888715,8.40236957613735,NaN,8,1,1
single_golden,static,27,3.98521538461124,8.38016730683479,0.92261880070829,8.38712578069137,NaN,9,1,1
single_golden,static,28,4.08193921633845,8.45846610978572,0.92195177396337,8.46554323564123,NaN,9,1,1
single_golden,static,29,3.13475241575015,9.95880108881398,0.909484974499087,9.95233874542737,NaN,10,1,1
single_golden,static,30,3.71941330820485,8.68702200816116,0.92003752864554,8.69121844107592,NaN,6,1,1
ea_multistart,jumpUp,11,0.107991141288261,0.0889768964621339,0.945905263043076,5.71883243179087,79,208,1,1
tracker,jumpUp,11,6.03961325396085e-14,0.0125000000000005,0.999207589567821,0.079303884443263,10,77,1,1
ea_multistart,jumpUp,12,0.100390921319665,0.0769752651743396,0.947743148328954,5.51382004324535,79,208,1,1
tracker,jumpUp,12,6.03961325396085e-14,0.0125000000000005,0.999207589567821,0.079303884443263,10,77,1,1
ea_multistart,jumpUp,13,0.0671213138672986,0.0345387342095765,0.94777485192842,5.51029054688661,79,208,1,1
tracker,jumpUp,13,6.03961325396085e-14,0.0125000000000005,0.999207589567821,0.079303884443263,10,77,1,1
ea_multistart,jumpUp,14,0.0536303493483068,0.0220740085030233,0.947443016830522,5.54724476679313,79,208,1,1
tracker,jumpUp,14,6.03961325396085e-14,0.0125000000000005,0.999207589567821,0.079303884443263,10,77,1,1
ea_multistart,jumpUp,15,0.142767506426333,0.154603483024791,0.94769977814861,5.51864873848144,79,208,1,1
tracker,jumpUp,15,6.03961325396085e-14,0.0125000000000005,0.999207589567821,0.079303884443263,10,77,1,1
ea_multistart,jumpUp,16,0.0382181856794634,0.0112205032064373,0.94761223649799,5.52839668846137,79,208,1,1
tracker,jumpUp,16,6.03961325396085e-14,0.0125000000000005,0.999207589567821,0.079303884443263,10,77,1,1
ea_multistart,jumpUp,17,0.0455063043136938,0.0159014832397251,0.947378237569572,5.55446181299512,79,208,1,1
tracker,jumpUp,17,6.03961325396085e-14,0.0125000000000005,0.999207589567821,0.079303884443263,10,77,1,1
ea_multistart,jumpUp,18,0.0374699477852083,0.0107858622678761,0.946754412760118,5.62401257625539,79,208,1,1
tracker,jumpUp,18,6.03961325396085e-14,0.0125000000000005,0.999207589567821,0.079303884443263,10,77,1,1
ea_multistart,jumpUp,19,0.1667457791717,0.209849397380442,0.946562812835078,5.6453926184645,79,208,1,1
tracker,jumpUp,19,6.03961325396085e-14,0.0125000000000005,0.999207589567821,0.079303884443263,10,77,1,1
ea_multistart,jumpUp,20,0.332290946237517,0.788386426804257,0.944505049055797,5.87555895012735,79,208,1,1
tracker,jumpUp,20,6.03961325396085e-14,0.0125000000000005,0.999207589567821,0.079303884443263,10,77,1,1
ea_multistart,jumpDown,11,0.107991141288263,0.0889768964621339,0.939585737546829,6.42988287699079,79,208,1,1
tracker,jumpDown,11,9.41469124882133e-14,0.0125000000000005,0.999435212308609,0.0565106856787594,9,76,1,1
ea_multistart,jumpDown,12,0.100390921319666,0.076975265174351,0.936844977474054,6.74124578179696,79,208,1,1
tracker,jumpDown,12,9.41469124882133e-14,0.0125000000000005,0.999435212308609,0.0565106856787594,9,76,1,1
ea_multistart,jumpDown,13,0.0671213138672995,0.0345387342095765,0.937560523842176,6.65978084294155,79,208,1,1
tracker,jumpDown,13,9.41469124882133e-14,0.0125000000000005,0.999435212308609,0.0565106856787594,9,76,1,1
ea_multistart,jumpDown,14,0.226352608301227,0.380661671505139,0.935553510571184,6.88859468759507,79,208,1,1
tracker,jumpDown,14,9.41469124882133e-14,0.0125000000000005,0.999435212308609,0.0565106856787594,9,76,1,1
ea_multistart,jumpDown,15,0.142767506426333,0.154603483024791,0.939236997954403,6.46940039392984,79,208,1,1
tracker,jumpDown,15,9.41469124882133e-14,0.0125000000000005,0.999435212308609,0.0565106856787594,9,76,1,1
ea_multistart,jumpDown,16,0.0382181856794643,0.0112205032064373,0.939003440080621,6.49588247665443,79,208,1,1
tracker,jumpDown,16,9.41469124882133e-14,0.0125000000000005,0.999435212308609,0.0565106856787594,9,76,1,1
ea_multistart,jumpDown,17,0.138612848040168,0.145850558880221,0.938204312908875,6.58659166674792,79,208,1,1
tracker,jumpDown,17,9.41469124882133e-14,0.0125000000000005,0.999435212308609,0.0565106856787594,9,76,1,1
ea_multistart,jumpDown,18,0.00893684539204864,0.000614105213839826,0.939645567276558,6.42310620358392,79,208,1,1
tracker,jumpDown,18,9.41469124882133e-14,0.0125000000000005,0.999435212308609,0.0565106856787594,9,76,1,1
ea_multistart,jumpDown,19,0.1667457791717,0.209849397380442,0.935725859228033,6.86890718452437,79,208,1,1
tracker,jumpDown,19,9.41469124882133e-14,0.0125000000000005,0.999435212308609,0.0565106856787594,9,76,1,1
ea_multistart,jumpDown,20,0.0498385981321423,0.0190680308249904,0.939769252492661,6.40909961116325,79,208,1,1
tracker,jumpDown,20,9.41469124882133e-14,0.0125000000000005,0.999435212308609,0.0565106856787594,9,76,1,1
ea_multistart,ramp,11,0.0463150808475676,0.0164709150913505,0.947680763059152,5.52076595624448,97,208,1,1
tracker,ramp,11,2.66453525910038e-15,0.0125000000000005,0.999609861491208,0.0390290776253437,0,118,1,1
ea_multistart,ramp,12,0.16302353042894,0.200750347219513,0.947841513797843,5.50286998858777,89,208,1,1
tracker,ramp,12,2.66453525910038e-15,0.0125000000000005,0.999609861491208,0.0390290776253437,0,118,1,1
ea_multistart,ramp,13,0.223192948246678,0.370461613954259,0.948271537850111,5.45502633846478,79,208,1,1
tracker,ramp,13,2.66453525910038e-15,0.0125000000000005,0.999609861491208,0.0390290776253437,0,118,1,1
ea_multistart,ramp,14,0.108145571673032,0.0892295597316675,0.947133549718566,5.58173135110068,91,208,1,1
tracker,ramp,14,2.66453525910038e-15,0.0125000000000005,0.999609861491208,0.0390290776253437,0,118,1,1
ea_multistart,ramp,15,0.0040210257841764,0.000124327316695729,0.946457884583995,5.65710490536399,102,208,1,1
tracker,ramp,15,2.66453525910038e-15,0.0125000000000005,0.999609861491208,0.0390290776253437,0,118,1,1
ea_multistart,ramp,16,0.0382181856794643,0.0112205032064373,0.947065073978516,5.58936523750266,79,208,1,1
tracker,ramp,16,2.66453525910038e-15,0.0125000000000005,0.999609861491208,0.0390290776253437,0,118,1,1
ea_multistart,ramp,17,0.343806810307405,0.885233418094712,0.929604253137102,7.57265757179313,55,299,1,1
tracker,ramp,17,2.66453525910038e-15,0.0125000000000005,0.999609861491208,0.0390290776253437,0,118,1,1
ea_multistart,ramp,18,1.68536244803703,4.15790131541343,0.942077037219391,6.1484316560324,NaN,117,1,1
tracker,ramp,18,2.66453525910038e-15,0.0125000000000005,0.999609861491208,0.0390290776253437,0,118,1,1
ea_multistart,ramp,19,0.13443058256236,0.137287178239685,0.948446852436276,5.43553362334425,55,208,1,1
tracker,ramp,19,2.66453525910038e-15,0.0125000000000005,0.999609861491208,0.0390290776253437,0,118,1,1
