v,Ptrue_W,Pl0_W,bias_W,dH3_W,dH5_W,dDrag_W,dAux_W,n_krpm
4.55,356.818816315301,435.081111303138,78.2622949878368,136.56503183809,10.9941529440029,17.30858390625,30,0.713589322641427
4.6,356.549205379638,435.101688914877,78.5524835352387,137.36305386331,10.9250803280715,17.88549,30,0.713601350409087
4.65,356.303378903564,435.122948201275,78.8195692977108,138.151587299959,10.856943158498,18.47507484375,30,0.713613776222934
4.7,356.081321284688,435.144904031469,79.0635827467809,138.930785001772,10.7897260049914,19.07747625,30,0.713626608734531
4.75,355.883019335158,435.167571433365,79.2845520982067,139.700797846008,10.7234137165509,19.69283203125,30,0.713639856685785
4.8,355.708462266726,435.190965593525,79.4825033267994,140.461774744348,10.6579914175482,20.32128,30,0.713653528908776
4.85,355.557641674664,435.215101857063,79.6574601823989,141.213862654933,10.5934445037844,20.96295796875,30,0.71366763432558
4.9,355.430551520602,435.239995727523,79.8094442069213,141.957206595448,10.5297586385265,21.61800375,30,0.713682181948085
4.95,355.327188114373,435.265662866771,79.9384747523974,142.691949657178,10.4669197485306,22.28655515625,30,0.713697180877802
5,355.247550094934,435.292119094863,80.0445689999289,143.418233019984,10.4049140200555,22.96875,30,0.713712640305671
5.05,355.191638410439,435.31938038993,80.1277419794903,144.136195968114,10.3437278948733,23.66472609375,30,0.713728569511862
5.1,355.159456297535,435.347462888042,80.1880065905065,144.845975906786,10.2833480662799,24.37462125,30,0.713744977865565
5.15,355.151009259937,435.376382883078,80.2253736231409,145.547708379503,10.2237614751117,25.09857328125,30,0.71376187482478
5.2,355.166305046359,435.40615682659,80.2398517802307,146.241527086002,10.1649553057708,25.83672,30,0.713779269936098
5.25,355.205353627854,435.436801327663,80.2314476998094,146.927563900823,10.1069169822635,26.58919921875,30,0.713797172834475
5.3,355.268167174607,435.468333152767,80.2001659781595,147.605948892415,10.0496341642556,27.35614875,30,0.713815593243
5.35,355.354760032271,435.500769225611,80.1460091933396,148.276810342737,9.99309474314775,28.13770640625,30,0.713834540972656
5.4,355.465148697854,435.53412662699,80.0689779291359,148.940274767309,9.93728683817345,28.93401,30,0.713854025922078
5.45,355.59935179524,435.568422594627,79.969070799387,149.59646693566,9.88219879252332,29.74519734375,30,0.713874058077299
5.5,355.757390050374,435.60367452301,79.8462844726361,150.245509892134,9.82781916949767,30.57140625,30,0.71389464751149
5.55,355.939286266163,435.639899963229,79.7006136970663,150.887524977006,9.77413674869007,31.41277453125,30,0.713915804384697
5.6,356.145065297126,435.677116622802,79.532051325676,151.52263184788,9.72114052220403,32.26944,30,0.713937538943566
5.65,356.374754023847,435.715342365502,79.3405883416558,152.150948501311,9.66881969090492,33.14154046875,30,0.713959861521063
5.7,356.628381327248,435.754595211177,79.1262138839288,152.772591294638,9.61716366070882,34.02921375,30,0.713982782536188
5.75,356.905978062746,435.794893335564,78.8889152728176,153.387674967978,9.56616203891027,34.93259765625,30,0.714006312493677
5.8,357.207577034292,435.836255070099,78.6286780358072,153.996312666357,9.51580463055004,35.85183,30,0.714030461983701
5.85,357.533212968357,435.878698901727,78.34548593337,154.598615961945,9.46608143482471,36.78704859375,30,0.714055241681556
5.9,357.882922487872,435.922243472695,78.0393209848233,155.194694876362,9.41698264153901,37.73839125,30,0.714080662347342
5.95,358.256744086164,435.966907580357,77.7101634941934,155.784657903046,9.36849862760211,38.70599578125,30,0.714106734825641
6,358.654718100898,436.012710176956,77.3579920760574,156.368612029626,9.32061995356882,39.69,30,0.714133470045178
6.05,359.076886688071,436.059670369412,76.9827836813411,156.946662760318,9.27333736022653,40.69054171875,30,0.71416087901848
6.1,359.523293796058,436.107807419106,76.5845136230475,157.518914138276,9.22664176522861,41.70775875,30,0.714188972841525
6.15,359.993985139751,436.157140741647,76.1631556018964,158.085468767921,9.18052425977498,42.74178890625,30,0.714217762693384
6.2,360.489008174795,436.207689906649,75.7186817318538,158.646427837194,9.13497610534016,43.79277,30,0.714247259835851
6.25,361.008412071954,436.259474637488,75.2510625655343,159.201891139734,9.0899887304495,44.86083984375,30,0.714277475613068
6.3,361.552247691607,436.312514811063,74.7602671194557,159.751957096959,9.04555372750363,45.94613625,30,0.714308421451135
6.35,362.120567558413,436.366830457549,74.2462628991358,160.296722780038,9.00166284965175,47.04879703125,30,0.714340108857724
6.4,362.713425836133,436.422441760142,73.7090159240096,160.836283931723,8.95830800771351,48.16896,30,0.714372549421667
6.45,363.330878302641,436.4793690548,73.1484907521589,161.370734988059,8.9154812671498,49.30676296875,30,0.71440575481255
6.5,363.97298232514,436.537632829978,72.5646505048376,161.90016909992,8.87317484508278,50.46234375,30,0.714439736780286
6.55,364.639796835571,436.597253726356,71.9574568907851,162.424678154399,8.83138110736438,51.63584015625,30,0.714474507154689
6.6,365.331382306251,436.658252536565,71.3268702303137,162.944352796008,8.79009256569393,52.82739,30,0.714510077845029
6.65,366.047800725734,436.720650204896,70.6728494791618,163.459282447696,8.74930187478435,54.03713109375,30,0.714546460839585
6.7,366.789115574916,436.78446782702,69.9953522521047,163.969555331682,8.70900182957688,55.26520125,30,0.714583668205182
6.75,367.555391803372,436.849726649686,69.2943348463144,164.475258490068,8.669185362504,56.51173828125,30,0.714621712086727
6.8,368.346695805958,436.916448070418,68.5697522644604,164.976477805261,8.62984554080037,57.77688,30,0.714660604706722
6.85,369.163095399662,436.98465363721,67.8215582375471,165.473298020158,8.59097556386134,59.06076421875,30,0.714700358364781
6.9,370.004659800726,437.054365048206,67.0497052474806,165.96580275813,8.55256876064889,60.36352875,30,0.714740985437125
6.95,370.871459602025,437.125604151385,66.2541445493598,166.454074542754,8.5146185871443,61.68531140625,30,0.714782498376078
7,371.763566750735,437.198392944223,65.4348261934877,166.938194817335,8.47711862384745,63.02625,30,0.714824909709541
7.05,372.681054526266,437.272753573366,64.5916990471005,167.418243964172,8.44006257332201,64.38648234375,30,0.714868232040466
7.1,373.623997518475,437.348708334283,63.7247108158077,167.894301323594,8.40344425778631,65.76614625,30,0.714912478046311
7.15,374.592471606172,437.426279670916,62.8338080647447,168.366445212744,8.36725761674919,67.16537953125,30,0.714957660478492
7.2,375.586553935898,437.505490175329,61.9189362394317,168.834752944122,8.33149670469044,68.58432,30,0.715003792161817
7.25,376.606322901,437.58636258734,60.9800396863403,169.299300843875,8.29615568878524,70.02310546875,30,0.715050885993915
7.3,377.651858120986,437.66891979415,60.0170616731642,169.760164269836,8.26122884667202,71.48187375,30,0.715098954944652
7.35,378.723240421177,437.753184829971,59.0299444087941,170.217417629307,8.22671056426334,72.96076265625,30,0.715148012055533
7.4,379.820551812638,437.839180875634,58.018629062996,170.671134396595,8.19259533359892,74.45991,30,0.715198070439098
7.45,380.943875472409,437.926931258202,56.9830557857927,171.121387130283,8.15887775074052,75.97945359375,30,0.715249143278303
7.5,382.093295724019,438.016459450566,55.9231637265477,171.568247490256,8.12555251370803,77.51953125,30,0.715301243825895
7.55,383.268898018291,438.107789071044,54.8388910527539,172.01178625446,8.09261442045584,79.08028078125,30,0.715354385403765
7.6,384.470768914434,438.200943882959,53.7301749685254,172.452073335415,8.06005836688944,80.66184,30,0.715408581402302
7.65,385.698996061426,438.295947794221,52.5969517327955,172.889177796467,8.02787934492111,82.26434671875,30,0.715463845279726
7.7,386.953668179675,438.392824856895,51.43915667722,173.323167867784,7.99607244056435,83.88793875,30,0.715520190561417
7.75,388.234875042975,438.491599266764,50.2567242237888,173.754110962105,7.96463283206658,85.53275390625,30,0.715577630839223
7.8,389.542707460736,438.592295362883,49.0495879021475,174.182073690226,7.9335557880789,87.19893,30,0.715636179770768
7.85,390.877257260496,438.694937627125,47.8176803666291,174.607121876242,7.90283666586303,88.88660484375,30,0.715695851078736
7.9,392.23861727072,438.799550683719,46.5609334129994,175.029320572534,7.87247090953429,90.59591625,30,0.715756658550151
7.95,393.626881303863,438.906159298782,45.2792779949183,175.448734074508,7.84245404834018,92.32700203125,30,0.715818616035645
8,395.042144139719,439.014788379837,43.972644240118,175.865425935092,7.81278169497389,94.08,30,0.715881737448709
8.05,396.484501509032,439.125462975334,42.6409614663016,176.279458978974,7.78344954392219,95.85504796875,30,0.715946036764932
8.1,397.954050077382,439.238208274147,41.2841581967651,176.690895316612,7.75445336984706,97.65228375,30,0.716011528021239
8.15,399.450887429336,439.353049605079,39.9021621757436,177.099796357994,7.72578902600033,99.4718451562499,30,0.716078225315097
8.2,400.975112052861,439.470012436347,38.4949003834866,177.506222826157,7.69745244267096,101.31387,30,0.716146142803729
8.25,402.526823324,439.589122375065,37.0622990510644,177.910234770478,7.66943962566412,103.17849609375,30,0.716215294703302
8.3,404.106121491804,439.710405166712,35.6042836749082,178.31189157972,7.64174665481159,105.06586125,30,0.716285695288106
8.35,405.713107663514,439.833886694602,34.1207790310876,178.711251994851,7.61436968251289,106.97610328125,30,0.716357358889724
8.4,407.347883790004,439.959592979332,32.6117091893282,179.108374121635,7.58730493230655,108.90936,30,0.716430299896188
8.45,409.010552651465,440.087550178237,31.0769975267723,179.503315442993,7.56054869747084,110.86576921875,30,0.716504532751115
8.5,410.701217843332,440.217784584819,29.5165667414869,179.896132831141,7.53409733965361,112.84546875,30,0.716580071952846
8.55,412.419983762459,440.350322628181,27.9303388657218,180.286882559502,7.50794728753033,114.84859640625,30,0.716656932053554
8.6,414.166955593529,440.485190872447,26.3182352789187,180.675620314409,7.48209503549025,116.87529,30,0.716735127658355
8.65,415.942239295692,440.622416016173,24.6801767204804,181.06240120658,7.45653714234949,118.92568734375,30,0.716814673424397
8.7,417.745941589452,440.762024891748,23.0160833022959,181.447279782387,7.4312702300913,120.99992625,30,0.716895584059939
8.75,419.578169943757,440.904044464789,21.3258745210319,181.830310034914,7.4062909826321,123.09814453125,30,0.716977874323418
8.8,421.439032563338,441.048501833528,19.6094692701896,182.211545414803,7.38159614461354,125.22048,30,0.717061559022502
8.85,423.328638376251,441.195424228182,17.8667858519311,182.591038840901,7.35718252021949,127.36707046875,30,0.717146653013129
8.9,425.247097021645,441.344839010324,16.0977419886791,182.968842710697,7.33304697201783,129.53805375,30,0.717233171198541
8.95,427.194518837745,441.49677367224,14.3022548344952,183.345008910571,7.30918641982622,131.73356765625,30,0.717321128528289
9,429.171014850042,441.651255836277,12.4802409862356,183.719588825837,7.28559783960167,133.95375,30,0.717410539997246
9.05,431.176696759688,441.808313254181,10.6316164944926,184.092633350596,7.26227826235314,136.19873859375,30,0.717501420644588
9.1,433.211676932106,441.967973806428,8.75629687432212,184.464192897399,7.23922477307683,138.46867125,30,0.717593785552776
9.15,435.276068385786,442.130265501546,6.85419711576037,184.834317406724,7.21643450971372,140.76368578125,30,0.717687649846517
9.2,437.369984781288,442.295216475424,4.92523169413653,185.203056356265,7.19390466212874,143.08392,30,0.717783028691717
9.25,439.493540410437,442.462854990618,2.96931458018054,185.570458770042,7.17163247111133,145.42951171875,30,0.717879937294415
9.3,441.646850185707,442.633209435639,0.986359249931354,185.936573227328,7.14961522739671,147.80059875,30,0.717978390899717
9.35,443.830029629792,442.806308324241,-1.02372130555102,186.301447871407,7.12785027070759,150.19731890625,30,0.7180784047907
9.4,446.04319486536,442.982180294693,-3.0610145706662,186.66513041815,7.10633498881584,152.61981,30,0.718179994287316
9.45,448.286462604993,443.160854109047,-5.12560849594593,187.027668164428,7.08506681662361,155.06820984375,30,0.718283174745281
9.5,450.5599501413,443.342358652389,-7.2175914889109,187.389107996353,7.06404323526364,157.54265625,30,0.718387961554947
9.55,452.8637753372,443.526722932087,-9.3370524051133,187.749496397355,7.04326177121824,160.04328703125,30,0.718494370140167
9.6,455.198056616389,443.71397607703,-11.4840805393594,188.108879456097,7.02271999545655,162.57024,30,0.718602415957141
9.65,457.562912953961,443.904147336852,-13.6587656171085,188.467302874231,7.00241552258968,165.12365296875,30,0.718712114493257
9.7,459.958463867202,444.097266081154,-15.8611977860485,188.824811973995,6.98234601004346,167.70366375,30,0.718823481265915
9.75,462.384829406545,444.293361798706,-18.0914676078395,189.181451705659,6.96250915724823,170.31041015625,30,0.718936531821339
9.8,464.842130146684,444.492464096654,-20.3496660500299,189.537266654816,6.94290270484547,172.94403,30,0.719051281733378
9.85,467.330487177836,444.694602699703,-22.6358844781333,189.892301049527,6.92352443391075,175.60466109375,30,0.719167746602291
9.9,469.850022097174,444.899807449301,-24.9502146478725,190.24659876732,6.9043721651929,178.29244125,30,0.71928594205353
9.95,472.400857000387,445.108108302807,-27.2927486975797,190.600203342039,6.88544375836859,181.00750828125,30,0.719405883736497
10,474.983114473409,445.319535332655,-29.6635791407542,190.953157970558,6.86673711131266,183.75,30,0.719527587323298
10.05,477.59691758428,445.534118725505,-32.0627988587753,191.305505519358,6.84825015938315,186.52005421875,30,0.719651068507487
10.1,480.242389875148,445.751888781383,-34.4905010937647,191.657288530956,6.82998087472113,189.31780875,30,0.719776343002787
10.15,482.919655354417,445.972875912818,-36.9467794415991,192.008549230216,6.81192726556502,192.14340140625,30,0.719903426541814
10.2,485.628838489028,446.197110643962,-39.4317278450664,192.359329530512,6.79408737557883,194.99697,30,0.720032334874779
10.25,488.370064196875,446.424623609708,-41.9454405871668,192.709671039777,6.77645928319418,197.87865234375,30,0.720163083768182
10.3,491.143457839345,446.655445554791,-44.4880122845542,193.059615066412,6.75904110096593,200.78858625,30,0.720295689003492
10.35,493.949145214001,446.889607332887,-47.0595378811131,193.409202625078,6.74183097494074,203.72690953125,30,0.720430166375824
10.4,496.787252547375,447.127139905699,-49.660112641676,193.758474442363,6.72482708403871,206.69376,30,0.720566531692596
10.45,499.657906487897,447.36807434203,-52.2898321458675,194.10747096233,6.70802763944748,209.68927546875,30,0.720704800772175
10.5,502.561234098938,447.612441816855,-54.9487922820833,194.456232351945,6.69143088402866,212.71359375,30,0.720844989442524
10.55,505.497362851976,447.86027361038,-57.6370892415958,194.804798506391,6.67503509173654,215.76685265625,30,0.720987113539821
10.6,508.466420619874,448.11160110709,-60.3548195127846,195.153209054263,6.65883856704817,218.84919,30,0.721131188907083
