Algorithm,Seed,EnergyOn,FinalError,HitsGlobal,SteadyRegretPercent,EnergyExcessPercent,EvalsToEps,ScanSteps,RefineSteps
multistart,16,0,0.0668840077604731,1,0.0342956752354442,NaN,19,61,140
multistart,17,1,0.104229225148118,1,0.0829301710111443,4.84777608037549,19,61,140
multistart,17,0,0.104229225148118,1,0.0829301710111443,NaN,19,61,140
multistart,18,1,0.0816554374971492,1,0.0510417981243854,4.22157495836495,19,61,84
multistart,18,0,0.0816554374971492,1,0.0510417981243854,NaN,19,61,84
multistart,19,1,0.0287013432739842,1,0.00633085127437591,5.28857799926229,20,61,140
multistart,19,0,0.0287013432739842,1,0.00633085127437591,NaN,20,61,140
multistart,20,1,0.180778073176294,1,0.245848972733723,5.38556125273237,19,61,140
multistart,20,0,0.180778073176294,1,0.245848972733723,NaN,19,61,140
multistart,21,1,0.0937944684251786,1,0.0672496255401205,5.30706705967034,19,61,140
multistart,21,0,0.0937944684251786,1,0.0672496255401205,NaN,19,61,140
multistart,22,1,0.0785828510641053,1,0.0472884092943705,6.5561031031242,19,61,112
multistart,22,0,0.0785828510641053,1,0.0472884092943705,NaN,19,61,112
multistart,23,1,0.0130680358639603,1,0.00131301128310181,5.26334118164996,19,61,140
multistart,23,0,0.0130680358639603,1,0.00131301128310181,NaN,19,61,140
multistart,24,1,0.232856323641978,1,0.402043843254127,5.17762474124448,19,61,112
multistart,24,0,0.232856323641978,1,0.402043843254127,NaN,19,61,112
multistart,25,1,0.173517823652114,1,0.226889664981639,6.65246764854985,19,61,112
multistart,25,0,0.173517823652114,1,0.226889664981639,NaN,19,61,112
multistart,26,1,0.209229485624077,1,0.326880012471116,5.14754931125612,19,61,112
multistart,26,0,0.209229485624077,1,0.326880012471116,NaN,19,61,112
multistart,27,1,0.19916656202801,1,0.297011599269555,5.93056129205687,19,61,140
multistart,27,0,0.19916656202801,1,0.297011599269555,NaN,19,61,140
multistart,28,1,0.20392847938243,1,0.310983105908271,5.49366711498834,19,61,140
multistart,28,0,0.20392847938243,1,0.310983105908271,NaN,19,61,140
multistart,29,1,0.297522745531195,1,0.641406547805422,5.5607374432974,19,61,140
multistart,29,0,0.297522745531195,1,0.641406547805422,NaN,19,61,140
multistart,30,1,0.0175965320801934,1,0.00238046365852382,5.25682452101999,20,61,140
multistart,30,0,0.0175965320801934,1,0.00238046365852382,NaN,20,61,140
multistart(2%噪声),11,1,0.0783874373088977,1,0.0470544833469747,7.0448514664231,19,61,140
multistart(2%噪声),12,1,0.118387902387675,1,0.106765278812087,7.46373885905004,20,61,140
multistart(2%噪声),13,1,0.158001973999286,1,0.18877760806131,4.913870181941,19,61,140
multistart(2%噪声),14,1,0.284178511232954,1,0.588220753740555,7.71148939103118,19,61,140
multistart(2%噪声),15,1,0.0990731047465916,1,0.0749808612622137,5.36818078076756,19,61,140
multistart(2%噪声),16,1,0.0718753506048575,1,0.0395870391848483,4.8022764453139,19,61,140
multistart(2%噪声),17,1,0.100034407222288,1,0.0764331807421547,4.86055830672163,19,61,140
multistart(2%噪声),18,1,0.38765476841442,0,1.04460658482074,7.53245828462862,20,61,140
multistart(2%噪声),19,1,0.0264619736995506,1,0.00538193075435679,5.2882482493816,89,61,140
multistart(2%噪声),20,1,0.496906411964472,0,1.60828466279914,5.94040452188019,NaN,61,140
